step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFlaggedFraud,isFraud
12,CASH_OUT,4921.604308826702,C100000,15227.337616890902,10295.380752030527,C200000,70109.42291852049,74581.40807191966,0,0
507,CASH_OUT,1677.4975172187335,C100001,17594.946157050374,15681.012412765976,C200001,93728.5093903619,94731.12613633231,0,0
441,DEBIT,2339.746271496353,C100002,73837.10417617964,72091.32928927285,C200002,55280.69117526504,57537.74187639182,0,0
40,PAYMENT,6637.589823401411,C100003,148040.4951695652,141350.1205417578,C200003,196192.6631728486,202375.37574083413,0,0
676,CASH_IN,24403.035557951716,C100004,73036.43236584266,49159.32538200099,C200004,55490.518626980935,79910.53302481874,0,0
164,CASH_IN,19554.38980654592,C100005,145010.53371954674,125792.00686533346,C200005,182172.72933322814,201139.68415760936,0,0
190,PAYMENT,5768.9175099071435,C100006,70402.56434280872,64256.641458587204,M200006,80818.1385843489,86770.28333240903,0,0
137,CASH_OUT,12592.21838912711,C100007,67465.93405124634,54734.5160846784,C200007,181274.06534738227,194131.18855062797,0,0
248,TRANSFER,394.6848265110617,C100008,38828.66057712795,38578.78675321489,C200008,113381.42091365818,113384.40351515097,0,0
131,CASH_OUT,5352.266000762478,C100009,197899.31853890477,193164.28071188074,C200009,188567.22846144598,193267.31023195953,0,0
259,PAYMENT,5584.062634894755,M100010,190292.36439038638,185101.51109005016,C200010,29974.33154106002,35558.28954230274,0,0
604,CASH_OUT,13471.871122606317,C100011,162766.6863978855,149352.08005231363,C200011,192832.5904375628,206582.86237177558,0,0
336,TRANSFER,6236.6842369125825,C100012,70527.14435114764,64930.30732489286,C200012,188410.30190165603,194981.50648353505,0,0
687,TRANSFER,9669.619749130032,C100013,81749.26663400765,72058.04972728585,C200013,96269.32266780261,105889.49232786387,0,0
334,CASH_OUT,7958.934515895384,C100014,46875.824075663375,38921.885599112575,C200014,138227.2691275902,146439.95684185068,0,0
206,TRANSFER,15625.564069434271,C100015,160572.6037635308,145181.15063074668,C200015,188115.38706744325,203947.44982585715,0,0
587,PAYMENT,2336.1738369349373,C100016,75384.73025999048,73058.83615411281,C200016,170083.3107893255,171775.39004628826,0,0
610,CASH_OUT,12004.67261555254,C100017,141881.4755503306,129590.28084907516,C200017,9723.582715128676,21514.21257071903,0,0
641,TRANSFER,7113.546627614217,C100018,142402.4256914849,135033.46917327563,C200018,78674.3333511313,85617.7682812506,0,0
662,CASH_OUT,10564.877351929312,M100019,49060.928183089956,38819.212499335576,C200019,16149.156748033965,26644.409822015008,0,0
19,TRANSFER,1535.954049873694,C100020,18720.53568284324,16862.783784534728,C200020,174966.6965697848,176314.23343934445,0,0
382,TRANSFER,19156.66046007446,C100021,134092.7820697865,115361.16359432266,C200021,191671.50037256067,210426.00672667738,0,1
200,TRANSFER,9970.504704937144,C100022,57152.61092597597,47755.68266648214,C200022,20284.592198479913,30479.687821455595,0,0
183,CASH_OUT,4708.266135074715,C100023,101914.31582433841,97622.09873244209,C200023,163699.0373648806,168321.37758150976,0,0
180,PAYMENT,21285.970550523874,C100024,33860.747635917935,12251.61841005248,C200024,170197.3643875373,191024.77825994938,0,0
613,TRANSFER,1705.3266317911382,C100025,154994.49018601852,153059.75025987698,C200025,8644.59589792681,10110.214132278761,0,0
589,CASH_OUT,2589.745974124027,M100026,45543.517497160836,42634.311602344154,C200026,73419.77312272474,75761.94078674649,0,0
159,TRANSFER,17767.04723852886,C100027,141111.35773416888,122779.45684953277,C200027,42296.102603312494,60284.78189249152,0,0
305,PAYMENT,253.3493202129492,C100028,184651.48494125708,183999.04247586467,C200028,194423.37308735846,195298.5280465682,0,0
551,DEBIT,9204.172361936558,M100029,49014.71460568812,40365.46130952802,C200029,66112.60418716793,75776.61596116248,0,0
111,CASH_OUT,7257.1088783141395,C100030,171848.26848153482,165097.27830491643,M200030,62129.2456917226,69870.2581829713,0,0
469,TRANSFER,6767.495567639561,C100031,178940.10995459158,172846.71490345045,C200031,140224.73834294104,146854.63290831583,0,0
326,DEBIT,3392.142502017322,C100032,176195.96371145113,172751.35889681525,C200032,6074.554036506741,10268.945991385692,0,0
690,PAYMENT,3932.844124560534,C100033,113411.56443787873,109425.47730236217,C200033,155399.07814238846,159723.69063006807,0,0
550,PAYMENT,14058.544348134372,C100034,96781.298524476,83412.65101464278,C200034,79534.84856829373,93704.15306117645,0,0
173,CASH_OUT,9728.597241268,C100035,164285.27422926913,154491.78474510246,C200035,88785.73498687454,98127.0832593345,0,0
621,TRANSFER,10141.85273576855,C100036,79240.03934067665,69752.07864727087,C200036,76971.95768579814,87071.37852962741,0,0
594,PAYMENT,22988.077511820007,C100037,170631.4938289339,147272.72848296416,C200037,46948.22219501504,69365.03550788265,0,0
159,CASH_OUT,56.7903803108055,C100038,50565.35038161656,50194.71674374203,C200038,13890.898857375732,14124.894066827781,0,0
385,CASH_OUT,44.144359486561626,C100039,187166.53168922788,187161.9727631875,M200039,61696.58408707117,61240.83312762851,0,0
